index,titleId,title,types,averageRating,numVotes,isAdult,startYear,runtimeMinutes,genre1,genre2,genre 3
44,tt0107290,Jurassic Park,imdbDisplay,8.1,862535,0,1993,127,0,1,4
45,tt0108160,Sleepless in Seattle,imdbDisplay,6.8,159704,0,1993,105,6,2,5
46,tt0108329,Thiruda Thiruda,imdbDisplay,7.2,1179,0,1993,140,0,7,2
47,tt0108550,Gilbert Grape,imdbDisplay,7.8,213517,0,1993,118,2,99,99
48,tt0109206,Bandit Queen,imdbDisplay,7.6,4372,0,1994,119,16,7,2
49,tt0111149,Shallow Grave,imdbDisplay,7.3,56673,0,1994,89,7,8,99
50,tt0112642,Casper,imdbDisplay,6.1,120924,0,1995,100,6,10,3
51,tt0113187,Last Godzilla,98,7,5451,0,1995,103,0,13,4
52,tt0114069,Outbreak,imdbDisplay,6.6,119213,0,1995,127,0,2,8
53,tt0114709,Toy Story,imdbDisplay,8.3,881709,0,1995,81,1,12,6
54,tt0116209,The English Patient,imdbDisplay,7.4,177839,0,1996,162,2,5,9
55,tt0116630,Indian,imdbDisplay,8.1,10580,0,1996,185,0,2,8
56,tt0117008,Matilda,imdbDisplay,6.9,128536,0,1996,98,6,10,3
57,tt0120338,Titanic,imdbDisplay,7.8,1039807,0,1997,194,2,5,99
58,tt0120815,Saving Private Ryan,imdbDisplay,8.6,1227548,0,1998,169,2,9,99
59,tt0120890,Wild Things,imdbDisplay,6.5,108092,0,1998,108,7,2,14
60,tt0130827,Lola Ran Iyakkavum,imdbDisplay,7.6,187763,0,1998,81,7,2,8
61,tt0140348,Maha Nadhi,98,8.5,3173,0,1994,162,7,2,99
62,tt0140534,Sathy Leevathy,98,8.2,1219,0,1995,151,6,2,99
63,tt0145487,Spider-Man,imdbDisplay,7.3,684744,0,2002,121,0,1,4
64,tt0150456,Gaja,imdbDisplay,5.6,34,0,1992,103,10,99,99
65,tt0152836,Thaalam,98,6.7,4950,0,1999,179,11,5,99
66,tt0155257,Thappu Thalangal,98,7.7,87,0,1978,150,2,99,99
67,tt0155664,Thavani Kanavukal,98,6.9,134,0,1984,148,2,99,99
69,tt0155949,Pava Mannippu,98,6.6,38,0,1991,150,98,99,99
70,tt0156690,Karunamoorthi,98,7.7,36,0,1978,160,16,2,10
72,tt0156860,Is Education Alone Enough?,98,6.7,25,0,1962,155,6,2,99
73,tt0156879,Pava Mannippu,98,7.1,36,0,1961,196,98,99,99
74,tt0156940,Ratnadeepam,98,6.6,10,0,1951,150,2,5,99
75,tt0158158,Kalam Maripochu,98,6.9,17,0,1955,211,2,99,99
76,tt0169102,Lagaan,imdbDisplay,8.1,104467,0,2001,224,1,2,11
77,tt0172493,"Girl, Interrupted",imdbDisplay,7.3,163513,0,1999,127,16,2,99
78,tt0187568,Oorantha Sankaranthi,98,5.8,8,0,1983,143,98,99,99
79,tt0213753,Kaathalar Thinam,98,6.3,574,0,1999,147,2,11,5
80,tt0214569,Chadarangam,98,6.2,10,0,1978,150,98,99,99
81,tt0214852,Kilipetchu Ketka Vaa,98,6.6,34,0,1993,150,98,99,99
82,tt0214984,Neeya?,98,6.2,84,0,1979,137,2,3,11
83,tt0215150,Sati Leelavathi,98,6.5,8,0,1936,103,2,99,99
84,tt0215179,Sakuntalai,imdbDisplay,6.7,6,0,1940,160,2,99,99
85,tt0215308,Varusham 16,98,7.2,85,0,1989,152,2,5,99
86,tt0217869,Unbreakable,imdbDisplay,7.3,385389,0,2000,106,2,14,4
87,tt0235489,Rettai Vaal Kuruvi,98,6.9,72,0,1987,150,98,99,99
88,tt0235604,Moodu Pani,98,6.7,327,0,1980,150,7,8,99
89,tt0235848,Udhiri Pookal,98,7.6,232,0,1979,143,2,99,99
